Index,Date,T sensor 1,T sensor 2,T sensor 3,T sensor 4
1,21/04/14 11:46:36,295.95,295.98199999999997,295.952,295.988
2,21/04/14 12:01:36,294.918,294.958,294.957,294.955
3,21/04/14 12:16:36,294.401,294.429,294.456,294.417
4,21/04/14 12:31:36,294.07,294.092,294.127,294.086
5,21/04/14 12:46:36,293.85,293.869,293.902,293.867
6,21/04/14 13:01:36,293.71,293.742,293.769,293.741
7,21/04/14 13:16:36,293.576,293.612,293.629,293.615
8,21/04/14 13:31:36,293.53,293.57,293.586,293.568
9,21/04/14 13:46:36,293.485,293.53,293.556,293.515
10,21/04/14 14:01:36,293.534,293.589,293.61,293.574
11,21/04/14 14:16:36,293.632,293.671,293.695,293.665
12,21/04/14 14:31:36,293.842,293.89,293.914,293.885
13,21/04/14 14:46:36,293.915,293.973,293.993,293.961
