,0
0,-8.200056e-05
1,3.6682693e-05
2,8.55359e-05
3,1.1123857e-05
4,-2.1176709e-06
5,-1.4469645e-05
6,-2.1405367e-05
7,-2.690792e-05
8,-3.1025982e-05
9,-3.4376197e-05
10,-3.712968e-05
11,-3.9459046e-05
12,-4.145649e-05
13,-7.286971e-05
14,-5.6946243e-05
15,-5.7167523e-05
16,-5.622708e-05
17,-5.6413694e-05
18,-8.628162e-05
19,-6.918242e-05
20,-6.842121e-05
21,-6.66657e-05
22,-6.6154535e-05
23,-6.575328e-05
24,-9.525831e-05
25,-7.772464e-05
26,-7.658135e-05
27,-7.446294e-05
28,-4.395034e-05
29,-9.037092e-05
30,-7.361101e-05
31,-7.429772e-05
32,-0.000102489816
33,-8.474519e-05
34,-8.323088e-05
35,-8.087718e-05
36,-7.9806174e-05
37,-7.8901125e-05
38,-0.00010794147
39,-8.9982204e-05
40,-8.844208e-05
41,-8.5956344e-05
42,-8.4771746e-05
43,-8.3745e-05
44,-8.299854e-05
45,-8.2383376e-05
46,-0.0001115528
47,-9.367393e-05
48,-9.2169954e-05
49,-8.969675e-05
50,-8.850551e-05
51,-8.746033e-05
52,-8.668805e-05
53,-8.604191e-05
54,-0.00011517666
55,-9.72587e-05
56,-9.571563e-05
57,-9.320186e-05
58,-9.196932e-05
59,-9.088282e-05
60,-9.007072e-05
61,-8.9382534e-05
62,-8.8807195e-05
63,-8.830783e-05
64,-0.000117540694
65,-9.9696495e-05
66,-9.820579e-05
67,-9.572743e-05
68,-9.4522184e-05
69,-9.345191e-05
70,-9.265013e-05
71,-9.196711e-05
72,-9.1391776e-05
73,-9.08902e-05
74,-9.0448375e-05
75,-9.005375e-05
76,-8.969823e-05
77,-8.937515e-05
78,-8.908085e-05
79,-0.00011848115
80,-0.00010077267
81,-9.939629e-05
82,-9.701381e-05
83,-9.588823e-05
84,-9.488877e-05
85,-9.414674e-05
86,-9.351461e-05
87,-9.298353e-05
88,-9.251957e-05
89,-9.2110204e-05
90,-9.174361e-05
91,-9.1412425e-05
92,-9.111222e-05
93,-9.0834874e-05
94,-9.057967e-05
95,-9.034216e-05
96,-9.012161e-05
97,-8.991361e-05
98,-8.971962e-05
99,-8.953669e-05
100,-8.936335e-05
101,-8.920108e-05
102,-8.9044705e-05
103,-8.8897184e-05
104,-8.875778e-05
105,-8.862279e-05
106,-8.849519e-05
107,-8.837275e-05
108,-8.82562e-05
109,-8.814409e-05
110,-8.803566e-05
111,-8.7930915e-05
112,-8.783134e-05
113,-8.7736196e-05
114,-8.7641776e-05
115,-8.7553264e-05
116,-8.7466964e-05
117,-8.738362e-05
118,-8.730248e-05
119,-8.7225024e-05
120,-8.714979e-05
121,-8.7076034e-05
122,-8.700375e-05
