,0
0,5605422.546321884
1,5605422.546321884
2,5668584.4491510615
3,5583349.318277492
4,5583349.318277492
5,5583349.318277492
6,5744201.619883805
7,5770561.495054004
8,5770561.495054004
9,5770561.495054004
10,5650321.072163483
11,5693515.2690490335
12,5693515.2690490335
13,5693515.2690490335
14,5851582.574429721
15,5851582.574429721
16,5851582.574429721
17,5851582.574429721
18,5851582.574429721
19,5851582.574429721
20,5851582.574429721
21,5851582.574429721
22,5901607.519324333
23,5838317.031492079
24,5772343.179125976
25,5772343.179125976
26,5772343.179125976
27,5642477.677916414
28,5542639.066044016
29,5463230.819435911
30,5463230.819435911
31,5435384.881468151
32,5535325.752480211
33,5627150.959139196
34,5669335.0422788495
35,5495220.931628273
36,5530126.523971333
37,5666774.282284579
38,5614979.784874356
39,5585393.980339074
40,5519863.357472879
41,5519863.357472879
42,5519863.357472879
43,5453690.696888069
44,5453690.696888069
45,5484716.3574391045
46,5522324.081967372
47,5625452.059459828
48,5700001.553394595
49,5700001.553394595
50,5814923.43254603
51,5798265.28222995
52,5632472.706583448
53,5660487.539170658
54,5599898.879665864
55,5599898.879665864
56,5599898.879665864
57,5599898.879665864
58,5599898.879665864
59,5599898.879665864
60,5451807.377532712
61,5577054.124387559
62,5577054.124387559
63,5577054.124387559
64,5469760.886427047
65,5494723.191310624
66,5533000.801780415
67,5533000.801780415
68,5533000.801780415
69,5533000.801780415
70,5533000.801780415
71,5464042.762655267
72,5464042.762655267
73,5464042.762655267
74,5464042.762655267
75,5547224.333842645
76,5718818.122082442
77,5718818.122082442
78,5808152.651558541
79,5736079.072010081
80,5736079.072010081
81,5736079.072010081
82,5745389.048781998
83,5745389.048781998
84,5745389.048781998
85,5745389.048781998
86,5745389.048781998
87,5715986.551259875
88,5703553.459426476
89,5703553.459426476
90,5780420.249998393
91,5843620.792123492
92,5719300.334840388
93,5649782.593989399
94,5698935.070898073
95,5700987.455844661
96,5722563.679514706
97,5722563.679514706
98,5722563.679514706
99,5722563.679514706
100,5718924.751959758
101,5734372.821198517
102,5808950.573703413
103,5964334.912444381
104,5964334.912444381
105,5964334.912444381
106,5863953.42170241
107,5667421.67488754
108,5598848.570367166
109,5598848.570367166
110,5598848.570367166
111,5598848.570367166
112,5598848.570367166
113,5598848.570367166
114,5598848.570367166
115,5598848.570367166
116,5598848.570367166
117,5598848.570367166
118,5598848.570367166
119,5592121.723587569
120,5592121.723587569
121,5592121.723587569
122,5592121.723587569
123,5592121.723587569
124,5683486.554738255
125,5593056.023656094
126,5661744.665252684
127,5778137.046151873
128,5761611.444864011
129,5727572.529949587
130,5634851.41734856
131,5661405.385701212
132,5572994.873581065
133,5532478.900567799
134,5655448.444158337
135,5698451.647638997
136,5698451.647638997
137,5719014.012505038
138,5725659.984716841
139,5809324.412737087
140,5992904.472675453
141,6136680.502651143
142,6043134.461366183
143,6206944.465670417
144,6294300.352348166
145,6259318.394024315
146,6299143.050205779
147,6299143.050205779
148,6254625.497277558
149,6142114.155365503
150,6135130.122570393
151,6027376.644843701
152,5970057.0722265495
153,5970057.0722265495
154,5970057.0722265495
155,6106050.691188187
156,6039350.800139384
157,6039350.800139384
158,6171560.27874721
159,6154446.666662422
160,6005722.8145162305
161,6046255.551027032
162,5921364.680531778
163,5854817.13909463
164,5908287.196283747
165,5968394.367507492
166,6029273.427245963
167,5965683.776327339
168,6080541.4440501835
169,6083535.6454827245
170,6147007.474642775
171,6176836.058771254
172,6176836.058771254
173,6085995.330593458
174,6063073.737520237
175,5835461.632946211
176,5835461.632946211
177,5872515.991868588
178,5778181.924651385
179,5815753.954939912
180,5967065.49820388
181,5911458.5689629875
182,5813569.274973902
183,5868923.135716687
184,5547895.650936086
185,5547895.650936086
186,5547895.650936086
187,5547895.650936086
188,5547895.650936086
189,5547895.650936086
190,5547895.650936086
191,5547895.650936086
192,5547895.650936086
193,5547895.650936086
194,5547895.650936086
195,5547895.650936086
196,5547895.650936086
197,5547895.650936086
198,5640134.342182807
199,5625777.252851803
200,5704259.059058491
