Index,Date,Tension,Temperature,Pressure
1,2017/05/18 12:15:00,1.52,288.43,0.82
2,2017/05/18 12:30:00,1.99,288.42,0.78
3,2017/05/18 12:45:00,2.5,288.41,0.74
4,2017/05/18 13:00:00,2.5,288.42,0.74
5,2017/05/18 13:15:00,2.5,288.43,0.74
6,2017/05/18 13:30:00,2.5,288.44,0.74
7,2017/05/18 13:45:00,2.5,288.45,0.74
8,2017/05/18 14:00:00,2.5,288.42,0.74
9,2017/05/18 14:15:00,2.5,288.53,0.74
10,2017/05/18 14:30:00,2.5,288.59,0.74
11,2017/05/18 14:45:00,2.5,288.61,0.74
12,2017/05/18 15:00:00,2.5,288.66,0.74
13,2017/05/18 15:15:00,2.47,288.72,0.74
14,2017/05/18 15:30:00,2.44,288.79,0.75
15,2017/05/18 15:45:00,2.42,288.84,0.75
16,2017/05/18 16:00:00,2.4,288.92,0.75
17,2017/05/18 16:15:00,2.37,288.99,0.75
18,2017/05/18 16:30:00,2.36,289.06,0.75
19,2017/05/18 16:45:00,2.32,289.1,0.76
20,2017/05/18 17:00:00,2.31,289.15,0.76
21,2017/05/18 17:15:00,2.29,289.2,0.76
22,2017/05/18 17:30:00,2.27,289.28,0.76
23,2017/05/18 17:45:00,2.25,289.32,0.76
24,2017/05/18 18:00:00,2.24,289.34,0.76
25,2017/05/18 18:15:00,2.21,289.34,0.77
26,2017/05/18 18:30:00,2.2,289.37,0.77
27,2017/05/18 18:45:00,2.18,289.38,0.77
28,2017/05/18 19:00:00,2.16,289.39,0.77
29,2017/05/18 19:15:00,2.26,289.42,0.76
30,2017/05/18 19:30:00,2.23,290.23,0.77
31,2017/05/18 19:45:00,2.14,289.59,0.77
32,2017/05/18 20:00:00,2.11,289.16,0.77
33,2017/05/18 20:15:00,2.07,289.12,0.78
34,2017/05/18 20:30:00,2.04,289.05,0.78
35,2017/05/18 20:45:00,2.01,288.96,0.78
36,2017/05/18 21:00:00,2.0,288.88,0.78
37,2017/05/18 21:15:00,1.97,288.79,0.78
38,2017/05/18 21:30:00,1.95,288.7,0.78
39,2017/05/18 21:45:00,1.93,288.63,0.79
40,2017/05/18 22:00:00,1.91,288.57,0.79
41,2017/05/18 22:15:00,1.89,288.52,0.79
42,2017/05/18 22:30:00,1.87,288.47,0.79
43,2017/05/18 22:45:00,1.86,288.42,0.79
44,2017/05/18 23:00:00,1.84,288.36,0.79
45,2017/05/18 23:15:00,1.82,288.3,0.79
46,2017/05/18 23:30:00,1.8,288.22,0.79
47,2017/05/18 23:45:00,1.78,288.13,0.8
48,2017/05/19 00:00:00,1.76,288.04,0.8
49,2017/05/19 00:15:00,1.74,287.95,0.8
50,2017/05/19 00:30:00,1.72,287.86,0.8
51,2017/05/19 00:45:00,1.7,287.75,0.8
52,2017/05/19 01:00:00,1.68,287.66,0.8
53,2017/05/19 01:15:00,1.66,287.59,0.8
54,2017/05/19 01:30:00,1.64,287.53,0.8
55,2017/05/19 01:45:00,1.63,287.47,0.81
56,2017/05/19 02:00:00,1.62,287.45,0.81
57,2017/05/19 02:15:00,1.61,287.42,0.81
