Index,Date,T sensor 1,T sensor 2,T sensor 3,T sensor 4
1,2017/05/18 12:15:00,519.716,450.688,810.827,605.183
2,2017/05/18 12:30:00,558.9200000000001,431.47799999999995,577.806,810.827
3,2017/05/18 12:45:00,287.861,287.622,287.238,286.637
4,2017/05/18 01:00:00,287.861,287.598,287.214,286.637
5,2017/05/18 01:15:00,287.861,287.598,287.214,286.637
6,2017/05/18 01:30:00,287.861,287.598,287.214,286.637
7,2017/05/18 01:45:00,287.837,287.598,287.214,286.637
8,2017/05/18 02:00:00,287.837,287.598,287.214,286.637
9,2017/05/18 02:15:00,287.837,287.598,287.214,286.637
10,2017/05/18 02:30:00,287.814,287.574,287.214,286.637
11,2017/05/18 02:45:00,287.814,287.574,287.214,286.637
12,2017/05/18 03:00:00,287.814,287.55,287.214,286.637
13,2017/05/18 03:15:00,287.814,287.55,287.214,286.637
14,2017/05/18 03:30:00,287.79,287.55,287.214,286.637
15,2017/05/18 03:45:00,287.79,287.55,287.214,286.637
16,2017/05/18 04:00:00,287.79,287.55,287.214,286.637
17,2017/05/18 04:15:00,287.79,287.55,287.214,286.637
18,2017/05/18 04:30:00,287.79,287.55,287.19,286.637
19,2017/05/18 04:45:00,287.79,287.55,287.19,286.637
20,2017/05/18 05:00:00,287.79,287.526,287.19,286.637
21,2017/05/18 05:15:00,287.79,287.55,287.19,286.637
22,2017/05/18 05:30:00,287.79,287.55,287.19,286.637
23,2017/05/18 05:45:00,287.814,287.526,287.19,286.637
24,2017/05/18 06:00:00,287.814,287.526,287.19,286.637
25,2017/05/18 06:15:00,287.814,287.55,287.19,286.637
26,2017/05/18 06:30:00,287.814,287.526,287.19,286.661
27,2017/05/18 06:45:00,287.837,287.55,287.19,286.661
28,2017/05/18 07:00:00,287.837,287.526,287.19,286.661
29,2017/05/18 07:15:00,287.861,287.55,287.19,286.661
30,2017/05/18 07:30:00,287.885,287.55,287.19,286.661
31,2017/05/18 07:45:00,287.861,287.55,287.19,286.661
32,2017/05/18 08:00:00,287.885,287.55,287.19,286.661
33,2017/05/18 08:15:00,287.909,287.55,287.19,286.661
34,2017/05/18 08:30:00,287.909,287.55,287.19,286.661
35,2017/05/18 08:45:00,287.909,287.55,287.19,286.661
36,2017/05/18 09:00:00,287.909,287.574,287.19,286.685
37,2017/05/18 09:15:00,287.909,287.574,287.19,286.685
38,2017/05/18 09:30:00,287.909,287.574,287.19,286.685
39,2017/05/18 09:45:00,287.909,287.574,287.19,286.685
40,2017/05/18 10:00:00,287.909,287.574,287.214,286.685
41,2017/05/18 10:15:00,287.909,287.574,287.214,286.685
42,2017/05/18 10:30:00,287.909,287.574,287.214,286.685
43,2017/05/18 10:45:00,287.885,287.574,287.214,286.685
44,2017/05/18 11:00:00,287.885,287.574,287.214,286.685
45,2017/05/18 11:15:00,287.861,287.598,287.214,286.709
46,2017/05/18 11:30:00,287.861,287.574,287.214,286.709
47,2017/05/18 11:45:00,287.861,287.574,287.214,286.709
48,2017/05/19 12:00:00,287.837,287.574,287.214,286.709
49,2017/05/19 12:15:00,287.814,287.574,287.214,286.709
50,2017/05/19 12:30:00,287.814,287.574,287.214,286.709
51,2017/05/19 12:45:00,287.79,287.55,287.214,286.709
52,2017/05/19 01:00:00,287.766,287.574,287.214,286.709
53,2017/05/19 01:15:00,287.742,287.55,287.214,286.709
54,2017/05/19 01:30:00,287.742,287.55,287.214,286.709
55,2017/05/19 01:45:00,287.718,287.55,287.214,286.709
56,2017/05/19 02:00:00,287.694,287.526,287.214,286.709
57,2017/05/19 02:15:00,287.67,287.526,287.214,286.709
58,2017/05/19 02:30:00,287.646,287.526,287.214,286.733
59,2017/05/19 02:45:00,287.622,287.502,287.214,286.733
60,2017/05/19 03:00:00,287.622,287.478,287.214,286.733
61,2017/05/19 03:15:00,287.598,287.478,287.214,286.709
62,2017/05/19 03:30:00,287.574,287.478,287.19,286.709
63,2017/05/19 03:45:00,287.55,287.454,287.19,286.733
64,2017/05/19 04:00:00,287.526,287.454,287.19,286.709
65,2017/05/19 04:15:00,287.502,287.43,287.19,286.709
66,2017/05/19 04:30:00,287.478,287.43,287.19,286.709
67,2017/05/19 04:45:00,287.454,287.406,287.166,286.709
68,2017/05/19 05:00:00,287.43,287.406,287.166,286.709
69,2017/05/19 05:15:00,287.406,287.382,287.166,286.733
70,2017/05/19 05:30:00,287.382,287.358,287.142,286.709
71,2017/05/19 05:45:00,287.334,287.358,287.142,286.709
72,2017/05/19 06:00:00,287.334,287.334,287.142,286.709
73,2017/05/19 06:15:00,287.286,287.334,287.142,286.709
74,2017/05/19 06:30:00,287.262,287.31,287.142,286.709
75,2017/05/19 06:45:00,287.238,287.286,287.118,286.709
76,2017/05/19 07:00:00,287.214,287.286,287.118,286.709
77,2017/05/19 07:15:00,287.19,287.262,287.118,286.709
78,2017/05/19 07:30:00,287.166,287.238,287.094,286.685
79,2017/05/19 07:45:00,287.142,287.238,287.094,286.709
80,2017/05/19 08:00:00,287.118,287.214,287.094,286.685
81,2017/05/19 08:15:00,287.094,287.19,287.07,286.685
82,2017/05/19 08:30:00,287.07,287.166,287.07,286.685
83,2017/05/19 08:45:00,287.046,287.166,287.046,286.685
84,2017/05/19 09:00:00,286.997,287.142,287.046,286.685
85,2017/05/19 09:15:00,286.973,287.118,287.022,286.661
86,2017/05/19 09:30:00,286.949,287.118,287.022,286.661
87,2017/05/19 09:45:00,286.925,287.094,287.022,286.661
88,2017/05/19 10:00:00,286.925,287.07,286.997,286.661
89,2017/05/19 10:15:00,286.877,287.046,286.997,286.637
