,0
0,4282214.659446872
1,4167638.761944824
2,4096268.5514826686
3,4087867.9922983535
4,3975261.5823378633
5,3975261.5823378633
6,4061433.700097571
7,3975136.7543269987
8,3928332.3692791723
9,4033613.2059145295
10,4007356.1121039335
11,3892738.012327733
12,3864264.9783317377
13,3788523.50633901
14,3814169.3859828194
15,3787824.3289724146
16,3798302.308366829
17,3721632.5410401043
18,3859327.823765466
19,3847723.821825235
20,3958839.1456696936
21,4192522.602708036
22,4273940.096398652
23,4389209.380172353
24,4388869.409630829
25,4309881.703520505
26,4448535.94444869
27,4418971.580454182
28,4534555.157049431
29,4451489.560491699
30,4325663.114114468
31,4366518.605435693
32,4292080.793433669
33,4265253.410630987
34,4191178.2140283408
35,4127463.281470911
36,4194686.800970412
37,4194686.800970412
38,4194615.451578742
39,4147081.6909633717
40,4106036.649074924
41,3914567.5558859236
42,3962265.679569363
43,3962265.679569363
44,3772000.992297153
45,3787721.214653896
46,3803705.497402093
47,3789768.131313297
48,3641309.1218441203
49,3667350.607908551
50,3541024.5703928727
51,3492161.9272970273
52,3351253.3836014736
53,3371451.279264456
54,3218221.0265325815
55,3217532.3977534724
56,3185878.025646553
57,3254443.664030487
58,3247185.357105865
59,3317197.1234258027
60,3187288.195271368
61,3127257.272707848
62,3205153.340963357
63,3100422.1396787134
64,3148735.26910529
65,3206759.2624108624
66,3227835.66302609
67,3290123.5427983594
68,3192359.2112775138
69,3119771.1761943097
70,3175935.613804666
71,3092073.830864717
72,2871345.746227089
73,2858342.2962810528
74,2866346.275325587
75,2667819.8979328894
76,2650001.521368895
77,2619983.322871901
78,2669456.9582003993
79,2591878.400491016
80,2591878.400491016
81,2421424.8524218053
82,2333824.290651623
83,2361762.7945521306
84,2404619.6931123235
85,2474925.94098695
86,2597810.0365394894
87,2628278.393400223
88,2631302.45359979
89,2703341.7361466885
90,2672169.935103285
91,2715557.214147987
92,2632933.1992341047
93,2612595.0943230414
94,2639965.0495227496
95,2792555.902453495
96,2763792.6276159883
97,2531511.5388843208
98,2565905.412368069
99,2590689.707453739
100,2456174.9410785325
101,2515591.655055695
102,2687324.831581636
103,2717747.420092945
104,2759112.1172587713
105,2732025.3146651643
106,2619241.878178463
107,2560867.386071384
108,2591247.855070392
109,2577619.951169639
110,2514469.730925899
111,2478209.5344733517
112,2478209.5344733517
113,2478209.5344733517
114,2422272.3255399573
115,2380563.1496893223
116,2414220.365143421
117,2495718.238640505
118,2446002.2940333844
119,2567103.3395999824
120,2542171.6192048606
121,2550299.1990453987
122,2638322.0005650953
123,2611941.7879228606
124,2699422.5259062964
125,2872202.5177431107
126,2857746.231121504
127,2904680.720201088
128,2881466.903857668
129,2793921.7642070437
130,2834356.274749705
131,2899474.0990542257
132,2940570.0822664616
133,3048381.8908001767
134,2904718.205353017
135,2907046.218365382
136,2937869.079388058
137,3034088.1735346504
138,3024025.8048503776
139,3053763.198664058
140,2864313.0941746086
141,2850155.876242469
142,2830031.3679031148
143,2889166.1874857205
144,2881817.361781224
145,2956391.09467291
146,3013118.7211573953
147,2910370.77065761
148,2753006.4682364673
149,2841170.323513525
150,2711026.881052435
151,2503817.068165345
152,2602607.246318149
153,2592300.5166033423
154,2593881.073399637
155,2755457.3625362474
156,2865154.2015835647
157,3032960.8791134492
158,2886079.7360717813
159,2881582.026212375
160,2872399.3298143055
161,2723933.2337367423
162,2656600.2811565865
163,2600456.0764293843
164,2753749.6837428617
165,2753749.6837428617
166,2692469.619180534
167,2654898.2103914465
168,2492342.7421236234
169,2400633.614569463
170,2347454.9639750347
171,2319536.2600212214
172,2300614.861721409
173,2420961.011026941
174,2538699.0819738815
175,2551301.876933374
176,2673247.952457327
177,2660939.255421781
178,2664403.6278282823
179,2790563.9824789446
180,2746858.5420075823
181,2606370.3008122705
182,2470234.7682951377
183,2557550.889858898
184,2609348.704165169
185,2570208.6839987435
186,2671619.2407076745
187,2838913.369287193
188,2787564.1458438584
189,2649964.4882015707
190,2563283.9086398026
191,2573822.1123543503
192,2554534.7168956553
193,2398716.0430481257
194,2343439.991096376
195,2379229.6702542584
196,2293331.275888166
197,2205417.0711813583
198,1998152.9775777187
199,1944608.913958183
200,1881530.0347031849
