,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,288.43,291.6295,294.82898,298.02847,301.22797,304.42746,307.62698,310.82648,314.02597,317.22546,320.42496,323.62445,326.82394,330.02344,333.22293,336.42242,339.62192,342.8214,346.0209,349.2204,352.4199,355.6194,358.81888,362.01837,365.21786,368.4174,371.61688,374.81638,378.01587,381.21536,384.41486,387.61435,390.81384,394.01334,397.21283,400.41232,403.61182,406.8113,410.0108,413.2103,416.4098,419.60928,422.80878,426.00827,429.20776,432.4073,435.60678,438.80627,442.00577,445.20526,448.40475,451.60425,454.80374,458.00323,461.20273,464.40222,467.6017,470.8012,474.0007,477.2002,480.3997,483.59918,486.79868,489.99817,493.19766,496.3972,499.59668,502.79617,505.99567,509.19516,512.39465,515.5941,518.79364,521.9931,525.1926,528.39215,531.5916,534.79114,537.9906,541.1901,544.3896,547.5891,550.7886,553.9881,557.18756,560.3871,563.58655,566.7861,569.98553,573.18506,576.3845,579.58405,582.7835,585.98303,589.1825,592.382,595.58154,598.781,601.9805,605.18
1,288.42,112.259056,136.78383,153.01839,167.77657,181.83127,195.2834,208.09483,220.21146,231.59297,242.22063,252.09982,261.25296,269.72397,277.55585,284.8078,291.52954,297.78552,303.6207,309.08987,314.2397,319.1092,323.73798,328.1631,332.4028,336.4922,340.4514,344.29416,348.0435,351.71045,355.30652,358.84338,362.33008,365.77237,369.18076,372.5536,375.90305,379.23126,382.53613,385.82907,389.10464,392.37122,395.62494,398.8721,402.11172,405.34634,408.57397,411.79913,415.01978,418.2363,421.45145,424.66345,427.8745,431.08292,434.289,437.49548,440.70013,443.90442,447.10968,450.31107,453.5144,456.71573,459.91733,463.11896,466.3208,469.52072,472.7218,475.9217,479.12253,482.32217,485.52274,488.72214,491.9226,495.12183,498.3222,501.52118,504.72137,507.9206,511.1206,514.3201,517.5192,520.7191,523.9193,527.1185,530.31824,533.51807,536.717,539.91815,543.11285,546.3249,549.4908,552.78265,555.7269,559.63275,560.8781,569.48364,557.72797,602.29767,491.0561,810.83
2,288.41,-84.8654,85.42057,57.177147,65.404045,74.79715,85.02314,95.96408,107.50181,119.49844,131.81114,144.28886,156.79002,169.17955,181.34265,193.18152,204.61797,215.59428,226.075,236.03572,245.4719,254.38922,262.80148,270.72845,278.19986,285.24255,291.8868,298.1675,304.11163,309.75198,315.11826,320.23285,325.12784,329.81894,334.33575,338.6929,342.90778,346.99814,350.98273,354.8644,358.66193,362.38364,366.0409,369.63702,373.18503,376.68533,380.14764,383.57632,386.9749,390.34793,393.69943,397.02652,400.34067,403.63803,406.9227,410.19467,413.45773,416.71307,419.9606,423.20132,426.4361,429.66568,432.8933,436.11487,439.3346,442.5521,445.76578,448.97876,452.1884,455.3974,458.60638,461.81165,465.01706,468.22296,471.42676,474.6297,477.8333,481.03476,484.23776,487.438,490.63995,493.84055,497.04205,500.24228,503.44318,506.6436,509.84314,513.04596,516.23975,519.4541,522.6226,525.88855,528.96173,532.3533,535.4626,537.69525,546.9355,524.1148,625.0494,286.64
3,288.42,41.981773,52.194702,37.10164,34.778526,35.833168,38.422737,42.088985,46.69261,52.18058,58.52216,65.683655,73.62104,82.2731,91.56281,101.402916,111.690285,122.32219,133.1917,144.1956,155.23409,166.21936,177.07178,187.72548,198.12405,208.22455,217.99374,227.40823,236.45448,245.12723,253.42555,261.35468,268.92447,276.1484,283.03967,289.6173,295.898,301.90268,307.64667,313.15213,318.4373,323.51578,328.40814,333.1292,337.69394,342.11526,346.4119,350.58826,354.66074,358.63693,362.52908,366.34555,370.09003,373.77454,377.4055,380.98584,384.5224,388.01913,391.48172,394.9141,398.31784,401.69943,405.05667,408.39743,411.71893,415.0269,418.3219,421.60495,424.8785,428.14102,431.39737,434.64703,437.8888,441.1264,444.35907,447.58737,450.8125,454.03412,457.25235,460.46933,463.68286,466.8957,470.10617,473.3151,476.5237,479.7299,482.93698,486.13947,489.35138,492.53302,495.80267,498.81223,502.56268,504.24567,511.55695,503.9191,534.8821,469.52914,633.76886,286.64
4,288.43,161.99792,87.851036,56.6465,41.20919,33.64014,30.012106,28.50613,28.284616,28.960604,30.359339,32.408276,35.086697,38.398674,42.35663,46.97279,52.252747,58.191833,64.77261,71.96663,79.731705,88.014084,96.75201,105.877625,115.31856,125.00035,134.85153,144.80096,154.78427,164.73772,174.61182,184.35739,193.93098,203.3044,212.4473,221.33846,229.96428,238.31259,246.37733,254.15788,261.6556,268.87387,275.82,282.50327,288.9296,295.11392,301.0669,306.79956,312.32538,317.6577,322.80597,327.78702,332.60757,337.28476,341.8232,346.24023,350.5416,354.7377,358.8362,362.84763,366.7787,370.63657,374.429,378.15897,381.83612,385.4624,389.04358,392.58636,396.0907,399.5637,403.00595,406.4231,409.81647,413.1877,416.53918,419.8762,423.19516,426.50214,429.79645,433.0803,436.3548,439.6206,442.87814,446.12946,449.3751,452.61307,455.85205,459.0741,462.3244,465.48917,468.85858,471.71188,475.81177,476.92514,485.04376,476.99756,505.6383,451.89713,583.4954,286.64
5,288.44,227.54611,165.51254,116.77089,83.96925,62.639538,48.879875,39.9656,34.157127,30.380297,27.980293,26.557888,25.87109,25.778194,26.19958,27.095938,28.456402,30.284683,32.59688,35.41149,38.747776,42.62272,47.04651,52.021408,57.542633,63.59483,70.15421,77.19006,84.663216,92.52919,100.739204,109.24187,117.98512,126.91441,135.97792,145.12645,154.3125,163.49313,172.62595,181.67816,190.6153,199.41206,208.04672,216.49683,224.74825,232.79147,240.61623,248.21548,255.59033,262.73724,269.65826,276.35745,282.8387,289.10745,295.1724,301.039,306.71832,312.21533,317.54492,322.70752,327.72067,332.58752,337.32043,341.92807,346.41562,350.79614,355.07202,359.25497,363.3507,367.36542,371.30588,375.17874,378.9887,382.74127,386.44098,390.09265,393.70053,397.26892,400.80106,404.29895,407.76843,411.21017,414.62717,418.0214,421.39685,424.75143,428.09677,431.41003,434.74973,437.986,441.42343,444.36288,448.4095,449.91107,457.17075,451.27893,475.5815,429.85007,547.46027,286.64
6,288.45,265.39667,229.42506,189.53221,152.50342,121.702774,97.50985,79.048615,65.13227,54.674477,46.801968,40.857185,36.357357,32.95579,30.40407,28.527008,27.201265,26.344397,25.90243,25.843866,26.155159,26.834187,27.888906,29.334137,31.18661,33.465782,36.189285,39.372295,43.025497,47.155346,51.761173,56.8366,62.369484,68.34088,74.7268,81.4982,88.62232,96.06325,103.783104,111.74182,119.89961,128.2156,136.65042,145.16695,153.72893,162.3012,170.85408,179.35814,187.78671,196.11803,204.33087,212.4093,220.33882,228.10446,235.70082,243.11705,250.35065,257.39676,264.255,270.92645,277.40915,283.7102,289.82758,295.77103,301.54465,307.1515,312.60184,317.8979,323.05002,328.06357,332.94586,337.70416,342.34485,346.876,351.3026,355.63202,359.8715,364.025,368.10065,372.10257,376.03558,379.90643,383.7188,387.47714,391.18655,394.8474,398.47308,402.04532,405.6164,409.07715,412.6848,415.86264,419.94083,421.86362,428.70026,424.08255,445.92712,406.6699,507.65964,286.64
7,288.42,280.43204,264.51096,241.6828,214.89937,187.3016,161.26463,138.07416,118.1607,101.437584,87.57304,76.150444,66.76236,59.04374,52.68855,47.444458,43.109814,39.524223,36.562,34.125774,32.140125,30.550566,29.31585,28.409637,27.81646,27.529718,27.550188,27.885159,28.546663,29.548855,30.908037,32.641174,34.76356,37.288925,40.228004,43.587696,47.371475,51.577744,56.20078,61.230038,66.65094,72.44552,78.591705,85.06383,91.83585,98.87626,106.15683,113.64367,121.30623,129.11288,137.0315,145.03148,153.08586,161.16476,169.24332,177.2983,185.30542,193.24736,201.1037,208.85994,216.50345,224.01962,231.40268,238.63889,245.72803,252.66145,259.43658,266.05252,272.50815,278.8031,284.93936,290.9191,296.74692,302.4226,307.95413,313.34488,318.59854,323.72226,328.71957,333.59753,338.36093,343.01596,347.56793,352.0218,356.3848,360.65912,364.85663,368.96634,373.03192,376.96655,380.98737,384.6066,388.96408,391.44693,398.0757,395.05246,413.96893,382.59747,466.18805,286.64
8,288.53,285.41696,278.58182,267.60648,252.70682,234.80655,215.19975,195.17078,175.7328,157.55618,140.99675,126.1818,113.08435,101.59424,91.55827,82.81182,75.19166,68.55126,62.75708,57.694122,53.26417,49.384216,45.983658,43.005573,40.40213,38.136097,36.179085,34.509144,33.111893,31.979181,31.10835,30.501268,30.164417,30.107037,30.341017,30.880028,31.738836,32.93139,34.471905,36.372383,38.643055,41.291897,44.323936,47.740578,51.54062,55.718967,60.267807,65.175316,70.42706,76.00639,81.893715,88.06766,94.50477,101.181,108.07023,115.14783,122.386116,129.7595,137.24281,144.81001,152.43748,160.10146,167.78017,175.45341,183.10146,190.70656,198.253,205.72589,213.11276,220.40137,227.58363,234.64883,241.59143,248.40596,255.08684,261.63235,268.03937,274.30746,280.43576,286.42563,292.27792,297.99387,303.57773,309.0317,314.35892,319.562,324.6511,329.6152,334.49286,339.21146,343.9524,348.31592,353.22903,356.59622,363.19907,362.18393,378.22226,355.3332,420.34677,286.64
9,288.59,286.8971,283.33572,277.67618,269.77353,259.66562,247.61699,234.09494,219.66202,204.87251,190.20552,176.02206,162.56892,149.99309,138.35838,127.679306,117.9246,109.04533,100.979004,93.655594,87.01066,80.97713,75.49504,70.50966,65.9724,61.8385,58.0708,54.635303,51.505554,48.656773,46.07044,43.731617,41.62943,39.75696,38.110516,36.689774,35.498444,34.541313,33.827072,33.365273,33.167862,33.246536,33.614986,34.28525,35.270233,36.580635,38.2266,40.216587,42.555943,45.24881,48.296352,51.69729,55.447807,59.54128,63.96886,68.71967,73.779594,79.133865,84.76516,90.654686,96.78275,103.12892,109.6711,116.38769,123.25658,130.25575,137.36252,144.5565,151.81639,159.12239,166.45525,173.7968,181.12987,188.43929,195.70921,202.92744,210.0812,217.1593,224.15273,231.0529,237.8523,244.54532,251.12573,257.59073,263.93753,270.161,276.2657,282.23975,288.1088,293.81458,299.49197,304.84177,310.54367,315.07846,321.85852,323.27408,336.25864,323.3413,367.06012,286.64
