,0
0,2017-05-18 12:15:00
1,2017-05-18 12:30:00
2,2017-05-18 12:45:00
3,2017-05-18 13:00:00
4,2017-05-18 13:15:00
5,2017-05-18 13:30:00
6,2017-05-18 13:45:00
7,2017-05-18 14:00:00
8,2017-05-18 14:15:00
9,2017-05-18 14:30:00
10,2017-05-18 14:45:00
11,2017-05-18 15:00:00
12,2017-05-18 15:15:00
13,2017-05-18 15:30:00
14,2017-05-18 15:45:00
15,2017-05-18 16:00:00
16,2017-05-18 16:15:00
17,2017-05-18 16:30:00
18,2017-05-18 16:45:00
19,2017-05-18 17:00:00
20,2017-05-18 17:15:00
21,2017-05-18 17:30:00
22,2017-05-18 17:45:00
23,2017-05-18 18:00:00
24,2017-05-18 18:15:00
25,2017-05-18 18:30:00
26,2017-05-18 18:45:00
27,2017-05-18 19:00:00
28,2017-05-18 19:15:00
29,2017-05-18 19:30:00
30,2017-05-18 19:45:00
31,2017-05-18 20:00:00
32,2017-05-18 20:15:00
33,2017-05-18 20:30:00
34,2017-05-18 20:45:00
35,2017-05-18 21:00:00
36,2017-05-18 21:15:00
37,2017-05-18 21:30:00
38,2017-05-18 21:45:00
39,2017-05-18 22:00:00
40,2017-05-18 22:15:00
41,2017-05-18 22:30:00
42,2017-05-18 22:45:00
43,2017-05-18 23:00:00
44,2017-05-18 23:15:00
45,2017-05-18 23:30:00
46,2017-05-18 23:45:00
47,2017-05-19 00:00:00
48,2017-05-19 00:15:00
49,2017-05-19 00:30:00
50,2017-05-19 00:45:00
51,2017-05-19 01:00:00
52,2017-05-19 01:15:00
53,2017-05-19 01:30:00
54,2017-05-19 01:45:00
55,2017-05-19 02:00:00
56,2017-05-19 02:15:00
57,2017-05-19 02:30:00
58,2017-05-19 02:45:00
59,2017-05-19 03:00:00
60,2017-05-19 03:15:00
61,2017-05-19 03:30:00
62,2017-05-19 03:45:00
63,2017-05-19 04:00:00
64,2017-05-19 04:15:00
65,2017-05-19 04:30:00
66,2017-05-19 04:45:00
67,2017-05-19 05:00:00
68,2017-05-19 05:15:00
69,2017-05-19 05:30:00
70,2017-05-19 05:45:00
71,2017-05-19 06:00:00
72,2017-05-19 06:15:00
73,2017-05-19 06:30:00
74,2017-05-19 06:45:00
75,2017-05-19 07:00:00
76,2017-05-19 07:15:00
77,2017-05-19 07:30:00
78,2017-05-19 07:45:00
79,2017-05-19 08:00:00
80,2017-05-19 08:15:00
81,2017-05-19 08:30:00
82,2017-05-19 08:45:00
83,2017-05-19 09:00:00
84,2017-05-19 09:15:00
85,2017-05-19 09:30:00
86,2017-05-19 09:45:00
87,2017-05-19 10:00:00
88,2017-05-19 10:15:00
89,2017-05-19 10:30:00
90,2017-05-19 10:45:00
91,2017-05-19 11:00:00
92,2017-05-19 11:15:00
93,2017-05-19 11:30:00
94,2017-05-19 11:45:00
95,2017-05-19 12:00:00
96,2017-05-19 12:15:00
97,2017-05-19 12:30:00
98,2017-05-19 12:45:00
99,2017-05-19 13:00:00
100,2017-05-19 13:15:00
101,2017-05-19 13:30:00
102,2017-05-19 13:45:00
103,2017-05-19 14:00:00
104,2017-05-19 14:15:00
105,2017-05-19 14:30:00
106,2017-05-19 14:45:00
107,2017-05-19 15:00:00
108,2017-05-19 15:15:00
109,2017-05-19 15:30:00
110,2017-05-19 15:45:00
111,2017-05-19 16:00:00
112,2017-05-19 16:15:00
113,2017-05-19 16:30:00
114,2017-05-19 16:45:00
115,2017-05-19 17:00:00
116,2017-05-19 17:15:00
117,2017-05-19 17:30:00
118,2017-05-19 17:45:00
119,2017-05-19 18:00:00
120,2017-05-19 18:15:00
121,2017-05-19 18:30:00
122,2017-05-19 18:45:00
123,2017-05-19 19:00:00
124,2017-05-19 19:15:00
125,2017-05-19 19:30:00
126,2017-05-19 19:45:00
127,2017-05-19 20:00:00
128,2017-05-19 20:15:00
129,2017-05-19 20:30:00
130,2017-05-19 20:45:00
131,2017-05-19 21:00:00
132,2017-05-19 21:15:00
133,2017-05-19 21:30:00
134,2017-05-19 21:45:00
135,2017-05-19 22:00:00
136,2017-05-19 22:15:00
137,2017-05-19 22:30:00
138,2017-05-19 22:45:00
139,2017-05-19 23:00:00
140,2017-05-19 23:15:00
141,2017-05-19 23:30:00
142,2017-05-19 23:45:00
143,2017-05-20 00:00:00
144,2017-05-20 00:15:00
145,2017-05-20 00:30:00
146,2017-05-20 00:45:00
147,2017-05-20 01:00:00
148,2017-05-20 01:15:00
149,2017-05-20 01:30:00
150,2017-05-20 01:45:00
151,2017-05-20 02:00:00
152,2017-05-20 02:15:00
153,2017-05-20 02:30:00
154,2017-05-20 02:45:00
155,2017-05-20 03:00:00
156,2017-05-20 03:15:00
157,2017-05-20 03:30:00
158,2017-05-20 03:45:00
159,2017-05-20 04:00:00
160,2017-05-20 04:15:00
161,2017-05-20 04:30:00
162,2017-05-20 04:45:00
163,2017-05-20 05:00:00
164,2017-05-20 05:15:00
165,2017-05-20 05:30:00
166,2017-05-20 05:45:00
167,2017-05-20 06:00:00
168,2017-05-20 06:15:00
169,2017-05-20 06:30:00
170,2017-05-20 06:45:00
171,2017-05-20 07:00:00
172,2017-05-20 07:15:00
173,2017-05-20 07:30:00
174,2017-05-20 07:45:00
175,2017-05-20 08:00:00
176,2017-05-20 08:15:00
177,2017-05-20 08:30:00
178,2017-05-20 08:45:00
179,2017-05-20 09:00:00
180,2017-05-20 09:15:00
181,2017-05-20 09:30:00
182,2017-05-20 09:45:00
183,2017-05-20 10:00:00
184,2017-05-20 10:15:00
185,2017-05-20 10:30:00
186,2017-05-20 10:45:00
187,2017-05-20 11:00:00
188,2017-05-20 11:15:00
189,2017-05-20 11:30:00
190,2017-05-20 11:45:00
191,2017-05-20 12:00:00
192,2017-05-20 12:15:00
193,2017-05-20 12:30:00
194,2017-05-20 12:45:00
195,2017-05-20 13:00:00
196,2017-05-20 13:15:00
197,2017-05-20 13:30:00
198,2017-05-20 13:45:00
199,2017-05-20 14:00:00
200,2017-05-20 14:15:00
201,2017-05-20 14:30:00
202,2017-05-20 14:45:00
203,2017-05-20 15:00:00
204,2017-05-20 15:15:00
205,2017-05-20 15:30:00
206,2017-05-20 15:45:00
207,2017-05-20 16:00:00
208,2017-05-20 16:15:00
209,2017-05-20 16:30:00
210,2017-05-20 16:45:00
211,2017-05-20 17:00:00
212,2017-05-20 17:15:00
213,2017-05-20 17:30:00
214,2017-05-20 17:45:00
215,2017-05-20 18:00:00
216,2017-05-20 18:15:00
217,2017-05-20 18:30:00
218,2017-05-20 18:45:00
219,2017-05-20 19:00:00
220,2017-05-20 19:15:00
221,2017-05-20 19:30:00
222,2017-05-20 19:45:00
223,2017-05-20 20:00:00
224,2017-05-20 20:15:00
225,2017-05-20 20:30:00
226,2017-05-20 20:45:00
227,2017-05-20 21:00:00
228,2017-05-20 21:15:00
229,2017-05-20 21:30:00
230,2017-05-20 21:45:00
231,2017-05-20 22:00:00
232,2017-05-20 22:15:00
233,2017-05-20 22:30:00
234,2017-05-20 22:45:00
235,2017-05-20 23:00:00
236,2017-05-20 23:15:00
237,2017-05-20 23:30:00
238,2017-05-20 23:45:00
239,2017-05-21 00:00:00
240,2017-05-21 00:15:00
241,2017-05-21 00:30:00
242,2017-05-21 00:45:00
243,2017-05-21 01:00:00
244,2017-05-21 01:15:00
245,2017-05-21 01:30:00
246,2017-05-21 01:45:00
247,2017-05-21 02:00:00
248,2017-05-21 02:15:00
249,2017-05-21 02:30:00
250,2017-05-21 02:45:00
251,2017-05-21 03:00:00
252,2017-05-21 03:15:00
253,2017-05-21 03:30:00
254,2017-05-21 03:45:00
255,2017-05-21 04:00:00
256,2017-05-21 04:15:00
257,2017-05-21 04:30:00
258,2017-05-21 04:45:00
259,2017-05-21 05:00:00
260,2017-05-21 05:15:00
261,2017-05-21 05:30:00
262,2017-05-21 05:45:00
263,2017-05-21 06:00:00
264,2017-05-21 06:15:00
265,2017-05-21 06:30:00
266,2017-05-21 06:45:00
267,2017-05-21 07:00:00
268,2017-05-21 07:15:00
269,2017-05-21 07:30:00
270,2017-05-21 07:45:00
271,2017-05-21 08:00:00
272,2017-05-21 08:15:00
273,2017-05-21 08:30:00
274,2017-05-21 08:45:00
275,2017-05-21 09:00:00
276,2017-05-21 09:15:00
277,2017-05-21 09:30:00
278,2017-05-21 09:45:00
279,2017-05-21 10:00:00
280,2017-05-21 10:15:00
281,2017-05-21 10:30:00
282,2017-05-21 10:45:00
283,2017-05-21 11:00:00
284,2017-05-21 11:15:00
285,2017-05-21 11:30:00
286,2017-05-21 11:45:00
287,2017-05-21 12:00:00
288,2017-05-21 12:15:00
289,2017-05-21 12:30:00
290,2017-05-21 12:45:00
291,2017-05-21 13:00:00
292,2017-05-21 13:15:00
293,2017-05-21 13:30:00
294,2017-05-21 13:45:00
295,2017-05-21 14:00:00
296,2017-05-21 14:15:00
297,2017-05-21 14:30:00
298,2017-05-21 14:45:00
299,2017-05-21 15:00:00
300,2017-05-21 15:15:00
301,2017-05-21 15:30:00
302,2017-05-21 15:45:00
303,2017-05-21 16:00:00
304,2017-05-21 16:15:00
305,2017-05-21 16:30:00
306,2017-05-21 16:45:00
