,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,288.43,291.6295,294.82898,298.02847,301.22797,304.42746,307.62698,310.82648,314.02597,317.22546,320.42496,323.62445,326.82394,330.02344,333.22293,336.42242,339.62192,342.8214,346.0209,349.2204,352.4199,355.6194,358.81888,362.01837,365.21786,368.4174,371.61688,374.81638,378.01587,381.21536,384.41486,387.61435,390.81384,394.01334,397.21283,400.41232,403.61182,406.8113,410.0108,413.2103,416.4098,419.60928,422.80878,426.00827,429.20776,432.4073,435.60678,438.80627,442.00577,445.20526,448.40475,451.60425,454.80374,458.00323,461.20273,464.40222,467.6017,470.8012,474.0007,477.2002,480.3997,483.59918,486.79868,489.99817,493.19766,496.3972,499.59668,502.79617,505.99567,509.19516,512.39465,515.5941,518.79364,521.9931,525.1926,528.39215,531.5916,534.79114,537.9906,541.1901,544.3896,547.5891,550.7886,553.9881,557.18756,560.3871,563.58655,566.7861,569.98553,573.18506,576.3845,579.58405,582.7835,585.98303,589.1825,592.382,595.58154,598.781,601.9805,605.18
1,288.42,124.851555,138.75902,152.08746,165.26396,178.22832,190.85243,203.0348,214.6848,225.73767,236.15959,245.93881,255.0788,263.60828,271.55505,278.95932,285.86823,292.32193,298.37222,304.05933,309.42316,314.5028,319.33255,323.94656,328.36847,332.62274,336.73468,340.72015,344.59854,348.38205,352.08676,355.7199,359.2919,362.81265,366.28845,369.7254,373.13242,376.50653,379.8587,383.1876,386.5015,389.79596,393.07825,396.3482,399.6107,402.86365,406.10803,409.34613,412.5789,415.80658,419.0318,422.2521,425.47015,428.68692,431.8991,435.1111,438.3197,441.52872,444.73477,447.9414,451.14587,454.34973,457.5534,460.75626,463.96024,467.16064,470.36325,473.56418,476.76477,479.96753,483.16653,486.36798,489.5677,492.7678,495.96863,499.16885,502.3681,505.5681,508.76807,511.96777,515.1679,518.36774,521.56744,524.7664,527.9669,531.16626,534.3657,537.5654,540.7636,543.9687,547.1513,550.40204,553.4491,557.1019,558.953,566.1629,557.4346,596.1109,493.7927,810.83
2,288.41,-64.38835,71.32989,56.61835,63.127434,71.3301,80.46405,90.34037,100.83351,111.82293,123.182816,134.78596,146.50658,158.22789,169.84087,181.25026,192.37941,203.1647,213.56032,223.5344,233.06483,242.15106,250.78644,258.98975,266.76788,274.14465,281.14105,287.7788,294.0868,300.0854,305.80444,311.26147,316.48492,321.49228,326.30658,330.94382,335.4229,339.76294,343.97183,348.06894,352.06174,355.96667,359.78897,363.53775,367.22336,370.8516,374.42886,377.9635,381.45578,384.91254,388.3405,391.7403,395.11572,398.4685,401.8053,405.1238,408.42813,411.7192,414.99918,418.26956,421.52917,424.78497,428.03,431.2723,434.50696,437.73917,440.96664,444.18967,447.4102,450.62817,453.84338,457.05795,460.26944,463.48032,466.6888,469.8958,473.10312,476.30872,479.5136,482.7179,485.92117,489.12457,492.32733,495.52957,498.73102,501.9331,505.13406,508.33606,511.5343,514.7407,517.92773,521.1587,524.2989,527.58466,530.8097,533.1039,541.47107,521.9466,614.6136,286.64
3,288.42,69.364426,51.985573,38.09241,34.53231,34.584526,36.32706,39.175644,42.92664,47.500267,52.85878,58.972073,65.807465,73.323135,81.46542,90.16798,99.355286,108.94598,118.85168,128.98978,139.26833,149.61101,159.94221,170.19344,180.30937,190.23679,199.93956,209.38164,218.5409,227.40121,235.94948,244.18367,252.10068,259.70654,267.0064,274.0111,280.72964,287.17645,293.36438,299.30975,305.02255,310.5226,315.82132,320.93375,325.87256,330.6528,335.286,339.78314,344.15594,348.41592,352.57123,356.63297,360.60852,364.50687,368.3323,372.09464,375.79883,379.45065,383.0549,386.61642,390.1406,393.62817,397.08652,400.51498,403.92062,407.3024,410.66476,414.00903,417.3373,420.65097,423.952,427.24164,430.52164,433.79276,437.05383,440.30933,443.5588,446.80222,450.0398,453.27344,456.50354,459.7295,462.95248,466.17328,469.39117,472.60657,475.8206,479.03223,482.24615,485.44443,488.68665,491.7888,495.31107,497.58447,503.48096,499.0896,523.15076,470.99915,614.4332,286.64
4,288.43,186.9383,111.36942,72.7885,51.75546,40.295124,34.04164,30.718071,29.155987,28.756208,29.210701,30.364357,32.143147,34.517986,37.4812,41.035843,45.18652,49.93418,55.27295,61.189613,67.65977,74.65114,82.12298,90.02673,98.30831,106.91175,115.77624,124.84356,134.05424,143.35431,152.68843,162.01154,171.2776,180.45064,189.49432,198.38133,207.08865,215.59622,223.89145,231.96005,239.7984,247.39958,254.76352,261.89117,268.78394,275.44913,281.89,288.11746,294.13553,299.95566,305.58554,311.0349,316.31445,321.43246,326.39944,331.22446,335.91656,340.48508,344.9373,349.28284,353.53012,357.68445,361.7554,365.74722,369.6669,373.5214,377.31503,381.05243,384.74023,388.38153,391.9794,395.5403,399.0646,402.55835,406.02307,409.46057,412.87393,416.26712,419.6403,422.99475,426.33493,429.6596,432.97162,436.27176,439.56226,442.84174,446.11505,449.3756,452.64188,455.86813,459.1812,462.24365,465.9434,467.98834,474.20926,470.00616,491.44443,450.23,562.9025,286.64
5,288.44,244.43466,193.12477,146.11884,110.20083,84.37575,66.25686,53.628372,44.813396,38.639584,34.318726,31.327053,29.321447,28.078457,27.455006,27.363106,27.752329,28.597624,29.891632,31.637825,33.84509,36.52577,39.690243,43.34784,47.50114,52.148827,57.281742,62.886017,68.93917,75.414505,82.280304,89.50048,97.0361,104.84441,112.88568,121.114975,129.49078,137.9722,146.52054,155.09875,163.6727,172.21175,180.68764,189.07518,197.35246,205.50085,213.50256,221.34915,229.02509,236.52515,243.84248,250.97517,257.91748,264.67328,271.24158,277.62347,283.82593,289.8497,295.7036,301.38864,306.9157,312.2868,317.51117,322.59726,327.54895,332.37393,337.08032,341.67365,346.16196,350.55048,354.8459,359.054,363.18152,367.2328,371.21442,375.13147,378.98712,382.78732,386.53485,390.23666,393.89255,397.5092,401.08755,404.63242,408.14642,411.62994,415.0908,418.52087,421.94363,425.31036,428.7478,431.94867,435.67877,438.0489,443.7409,441.12057,459.31747,424.816,524.0975,286.64
6,288.45,273.5424,247.79271,216.13939,183.38382,153.31335,127.58068,106.43513,89.440735,75.93158,65.23666,56.770653,50.056187,44.719986,40.47441,37.10147,34.437607,32.363003,30.789347,29.655949,28.920853,28.560326,28.561008,28.920773,29.643692,30.73847,32.217133,34.09263,36.376717,39.07962,42.20861,45.76766,49.755802,54.168034,58.995136,64.22235,69.8326,75.80301,82.10976,88.72443,95.61738,102.75874,110.114685,117.65481,125.34547,133.15614,141.05643,149.01515,157.00693,165.00409,172.98364,180.92206,188.80151,196.60184,204.30843,211.90671,219.3864,226.73526,233.94691,241.01617,247.9338,254.70148,261.3127,267.76913,274.07062,280.21786,286.21384,292.05936,297.7594,303.31677,308.73602,314.02258,319.18042,324.21454,329.13092,333.9342,338.63,343.2237,347.72025,352.12515,356.44357,360.68112,364.8411,368.92957,372.95068,376.90768,380.80798,384.64804,388.44882,392.17334,395.92438,399.45718,403.39572,406.18445,411.74643,410.20926,426.41757,398.10873,480.65103,286.64
7,288.42,283.29578,272.90314,257.08502,237.11203,214.81015,192.0585,170.27834,150.31558,132.54878,117.033936,103.648445,92.178665,82.38316,74.027405,66.896774,60.80293,55.58746,51.115707,47.27934,43.987118,41.168648,38.76645,36.737556,35.04968,33.6801,32.614765,31.84684,31.375204,31.2038,31.339874,31.793514,32.57641,33.700596,35.17789,37.01892,39.23256,41.825035,44.800484,48.159245,51.89889,56.013336,60.493526,65.32715,70.499695,75.99327,81.78791,87.86236,94.19356,100.75673,107.52697,114.47904,121.586914,128.82547,136.16972,143.59587,151.07977,158.59958,166.13437,173.6639,181.17163,188.63872,196.05124,203.39482,210.6581,217.82915,224.89885,231.86021,238.7056,245.4304,252.02988,258.50137,264.84235,271.0525,277.12997,283.07642,288.89252,294.58008,300.14114,305.57916,310.89517,316.09488,321.18063,326.1571,331.02805,335.79694,340.46912,345.04562,349.54218,353.9311,358.2976,362.44257,366.88022,370.33847,376.00134,375.97153,389.8406,369.0871,433.97824,286.64
8,288.53,286.30243,281.6049,274.17633,263.9276,251.14182,236.40436,220.47661,204.11885,187.96786,172.49039,157.98119,144.59456,132.38326,121.33073,111.37584,102.43726,94.422615,87.24228,80.80309,75.025536,69.83537,65.16634,60.963226,57.174316,53.758873,50.68175,47.914627,45.43453,43.224487,41.272167,39.570126,38.115173,36.9077,35.951252,35.252373,34.81944,34.662537,34.792236,35.220486,35.957943,37.015495,38.40262,40.126514,42.194252,44.608658,47.372437,50.48406,53.940636,57.73615,61.86284,66.31053,71.06646,76.11636,81.444954,87.033615,92.864494,98.91767,105.17359,111.609856,118.206955,124.94291,131.79727,138.74945,145.77983,152.8684,159.99698,167.14867,174.30519,181.4531,188.57591,195.66165,202.69809,209.67351,216.5782,223.40405,230.14296,236.78879,243.33536,249.77783,256.11417,262.33902,268.45245,274.45212,280.33838,286.11002,291.7694,297.3135,302.7537,308.06717,313.3187,318.35522,323.5623,328.00464,333.98413,335.87878,347.43387,335.17026,380.353,286.64
9,288.59,287.23138,284.47974,280.27106,274.5537,267.33847,258.6998,248.82841,237.97493,226.4572,214.58813,202.6631,190.91206,179.5231,168.62257,158.28622,148.5599,139.45287,130.9583,123.05706,115.71322,108.89676,102.56978,96.69415,91.236565,86.16247,81.44158,77.04471,72.94896,69.13085,65.57147,62.25539,59.16843,56.300526,53.643547,51.192577,48.944626,46.89977,45.059933,43.429077,42.01345,40.820538,39.858555,39.138294,38.6694,38.462738,38.5292,38.87846,39.52056,40.463642,41.715622,43.281635,45.16657,47.372284,49.899803,52.748196,55.91347,59.390923,63.173588,67.2531,71.61894,76.25913,81.16056,86.309166,91.68931,97.28485,103.079185,109.05445,115.19385,121.47888,127.89178,134.41548,141.03142,147.72421,154.47643,161.27237,168.09702,174.93573,181.77548,188.60303,195.40662,202.17596,208.90005,215.57042,222.17882,228.71727,235.18103,241.56134,247.86038,254.05739,260.18958,266.15707,272.1902,277.7367,284.09277,288.23422,297.1277,294.96597,316.9492,286.64
10,288.61,287.65405,285.69296,282.75064,278.85532,274.0679,268.44028,262.04663,254.96568,247.30133,239.16333,230.68341,221.98817,213.20161,204.43355,195.77379,187.29651,179.05507,171.09273,163.4291,156.08087,149.05013,142.33525,135.93073,129.82378,124.003365,118.45395,113.16494,108.11925,103.304695,98.70971,94.32242,90.13111,86.12882,82.30595,78.65584,75.17371,71.85421,68.69541,65.69494,62.85239,60.168972,57.647697,55.29131,53.10511,51.095604,49.269493,47.634888,46.201244,44.97785,43.974274,43.201065,42.66842,42.386257,42.3635,42.60972,43.13267,43.939274,45.035435,46.425697,48.11354,50.100334,52.386604,54.97063,57.85015,61.020153,64.47553,68.20807,72.21019,76.47128,80.981,85.727264,90.696915,95.876495,101.25203,106.80871,112.53148,118.40509,124.41417,130.54344,136.77756,143.1013,149.50032,155.96053,162.46742,169.00813,175.57048,182.14058,188.71071,195.26308,201.80269,208.28986,214.77481,221.15007,227.53125,233.94469,239.4028,248.74512,243.52077,286.64
11,288.66,287.92285,286.40582,284.13248,281.13623,277.4805,273.22952,268.47058,263.2771,257.71307,251.84636,245.7357,239.43462,233.00502,226.48875,219.93694,213.39406,206.89665,200.47055,194.14418,187.93759,181.8658,175.93356,170.15065,164.51776,159.03516,153.70059,148.50917,143.46025,138.54523,133.76277,129.10522,124.570885,120.154305,115.851456,111.66076,107.578964,103.60375,99.7354,95.97223,92.3133,88.76137,85.315,81.97773,78.75072,75.63739,72.64236,69.768105,67.02139,64.40711,61.93256,59.604454,57.43085,55.420223,53.581394,51.923832,50.45706,49.191097,48.135323,47.299385,46.692978,46.32485,46.203503,46.33655,46.730717,47.392384,48.326115,49.536083,51.02443,52.79324,54.842037,57.17001,59.77503,62.65294,65.79939,69.20778,72.87137,76.78169,80.92999,85.305756,89.89851,94.69661,99.687744,104.85984,110.19954,115.693886,121.329025,127.092545,132.9688,138.94951,145.00684,151.17305,157.29744,163.77913,169.40538,177.61946,178.58632,199.97227,164.41272,286.64
12,288.72,288.12622,286.90808,285.07004,282.64618,279.68036,276.23145,272.36182,268.14807,263.66202,258.95935,254.10463,249.13873,244.10768,239.04616,233.97223,228.91281,223.88527,218.90189,213.97208,209.10278,204.3009,199.56955,194.90788,190.31891,185.79834,181.34601,176.95683,172.6282,168.35791,164.13995,159.972,155.85083,151.7737,147.7373,143.7405,139.78265,135.86203,131.9782,128.13301,124.32678,120.560875,116.83746,113.159355,109.529434,105.95075,102.42664,98.96226,95.55987,92.22664,88.9652,85.78285,82.68385,79.67523,76.7636,73.95519,71.257935,68.679184,66.22788,63.911644,61.740406,59.722393,57.867275,56.184475,54.683384,53.3735,52.263832,51.363632,50.681362,50.225014,50.002266,50.02003,50.28414,50.800266,51.57256,52.604507,53.898308,55.455547,57.27634,59.35998,61.704655,64.30722,67.163864,70.26955,73.61819,77.203316,81.01643,85.050995,89.2922,93.74651,98.357765,103.24185,108.04031,113.688225,117.60251,126.732506,122.28114,154.77701,88.607994,286.64
13,288.79,306.4481,316.7346,320.6408,319.71082,315.53302,309.4049,302.287,294.78796,287.29623,280.01544,273.04993,266.43405,260.17685,254.25961,248.65697,243.34439,238.29393,233.47748,228.87509,224.46039,220.21399,216.11667,212.15344,208.30428,204.55812,200.89981,197.31606,193.79556,190.32748,186.9023,183.50941,180.14015,176.78987,173.44823,170.11058,166.77165,163.42964,160.07758,156.71573,153.34087,149.95424,146.55373,143.14186,139.71828,136.28792,132.85078,129.41069,125.973495,122.54112,119.11798,115.71,112.32196,108.95909,105.6269,102.33194,99.07914,95.876205,92.72876,89.64398,86.62911,83.69103,80.83822,78.078285,75.41905,72.86952,70.43807,68.13374,65.96531,63.94214,62.073204,60.367928,58.834972,57.483677,56.322086,55.35909,54.602394,54.059414,53.7371,53.64166,53.778744,54.153202,54.76896,55.629337,56.736538,58.09235,59.695946,61.550663,63.644653,66.00413,68.5493,71.48037,74.24901,78.29247,79.78002,88.82074,78.69473,119.80493,26.852064,286.64
